Unique ID,Card Name,Card Type,Card Stage,Rarity,Set,Series,Count,Image URL
32,Torracat,Fire,Stage 1,U,"UNB, Unbroken Bonds",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_28.png
33,Incineroar,Fire,Stage 2,R,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM1/SM1_EN_26.png
34,Incineroar,Fire,Stage 2,R,"SUM, Sun & Moon",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_29.png
35,Blacephalon,Fire,Basic,R,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_32.png
36,Litwick,Fire,Basic,C,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_28.png
37,Lampent,Fire,Stage 1,U,"UNM, Unified Minds",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_29.png
38,Magmar,Fire,Basic,C,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_21.png
39,Chi-Yu,Fire,Basic,R,"PAR, Paradox Rift",SV,8,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_29.png
40,Magby,Fire,Basic,C,"PAR, Paradox Rift",SV,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_19.png
41,Charcadet,Fire,Basic,C,"PAR, Paradox Rift",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_26.png
42,Scorbunny,Fire,Basic,C,"CRE, Chilling Reign",SWSH,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH6/SWSH6_EN_26.png
43,Raboot,Fire,Stage 1,U,"CRE, Chilling Reign",SWSH,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH6/SWSH6_EN_27.png
44,Larvesta,Fire,Basic,C,"CRE, Chilling Reign",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH6/SWSH6_EN_23.png
45,Castform,Fire,Basic,C,"CRE, Chilling Reign",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH6/SWSH6_EN_22.png
46,Houndoom,Fire,Stage 1,C,"SVI, Scarlet & Violet",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_34.png
47,Litwick,Fire,Basic,C,"LOR, Lost Origin",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH11/SWSH11_EN_24.png
48,Chandelure,Fire,Stage 2,R,"LOR, Lost Origin",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH11/SWSH11_EN_26.png
49,Iron Moth,Fire,Basic,R,"PAR, Paradox Rift",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_28.png
50,Volcanion,Fire,Basic,R,"PAR, Paradox Rift",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_22.png
51,Heatmor,Fire,Basic,C,"TEF, Temporal Forces",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_31.png
52,Fuecoco,Fire,Basic,C,"SVI, Scarlet & Violet",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_36.png
53,Fuecoco,Fire,Basic,C,"PAR, Paradox Rift",BW,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_23.png
54,Crocalor,Fire,Stage 1,U,"SVI, Scarlet & Violet",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_37.png
55,Crocalor,Fire,Stage 1,U,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_24.png
56,Skeledirge,Metal,Stage 2,RR,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_137.png
57,Pansear,Fire,Basic,C,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_20.png
58,Simisear,Fire,Stage 1,U,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_21.png
59,Ponyta,Fire,Basic,C,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_26.png
60,Litten,Fire,Basic,C,"TEF, Temporal Forces",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_32.png
61,Slugma,Fire,Basic,C,"TEF, Temporal Forces",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_28.png
62,Sizzlipede,Fire,Basic,C,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_36.png
63,Centiskorch,Fire,Stage 1,U,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_37.png
64,Turtonator,Fire,Basic,C,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_35.png
65,Growlithe,Fire,Basic,C,"SVI, Scarlet & Violet",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_31.png
66,Volcanion,Fire,Basic,R,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_25.png
67,Armarouge,Fire,Stage 1,R,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV4PT5/SV4PT5_EN_15.png
68,Entei,Fire,Basic,R,"OBF, Obsidian Flames",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV03/SV03_EN_30.png
69,Charmander,Fire,Basic,C,"BUS, Burning Shadows",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM3/SM3_EN_18.png
70,Charmeleon,Fire,Stage 1,U,"OBF, Obsidian Flames",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV03/SV03_EN_27.png
71,Charizard,Fire,Stage 2,R,"PGO, Pokémon GO",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/PGO/PGO_EN_10.png
72,Charmander,Fire,Basic,C,"OBF, Obsidian Flames",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV03/SV03_EN_26.png
73,Cinderace,Fire,Stage 2,RR,"SCR, Stellar Crown",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV07/SV07_EN_157.png
74,Charcadet,Fire,Basic,C,"SSP, Surging Sparks",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_33.png
75,Pansear,Fire,Basic,C,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_22.png
76,Volcarona,Fire,Stage 1,C,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_25.png
77,Ho-Oh,Fire,Basic,U,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_19.png
78,Chimchar,Fire,Basic,C,"TWM, Twilight Masquerade",SV,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_31.png
79,Monferno,Fire,Stage 1,C,"TWM, Twilight Masquerade",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_32.png
80,Infernape,Fire,Stage 2,R,"TWM, Twilight Masquerade",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_33.png
81,Slugma,Fire,Basic,C,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_28.png
82,Magcargo,Fire,Stage 1,RR,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_29.png
83,Darumaka,Fire,Basic,C,"TWM, Twilight Masquerade",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_34.png
84,Darmanitan,Fire,Stage 1,U,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_35.png
85,Vulpix,Fire,Basic,C,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_26.png
86,Gouging Fire,Fire,Basic,R,"SSP, Surging Sparks",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_38.png
87,Torkoal,Fire,Basic,C,"TWM, Twilight Masquerade",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_30.png
88,Victini,Fire,Basic,C,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_30.png
89,Ceruledge,Fire,Stage 1,U,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_35.png
90,Spinarak,Grass,Basic,C,"CES, Celestial Storm",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_5.png
91,Spinarak,Grass,Basic,C,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_9.png
92,Ariados,Grass,Stage 1,U,"UNB, Unbroken Bonds",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_10.png
93,Surskit,Grass,Basic,C,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_15.png
94,Masquerain,Grass,Stage 1,U,"CES, Celestial Storm",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_16.png
95,Lurantis,Grass,Stage 1,U,"UNM, Unified Minds",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_16.png
96,Wurmple,Grass,Basic,C,"LOT, Lost Thunder",SM,7,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_24.png
97,Silcoon,Grass,Stage 1,U,"LOT, Lost Thunder",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_25.png
98,Cascoon,Grass,Stage 1,U,"LOT, Lost Thunder",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_27.png
99,Beautifly,Grass,Stage 2,R,"LOT, Lost Thunder",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_26.png
100,Combee,Grass,Basic,C,"LOT, Lost Thunder",SM,9,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_31.png
101,Vespiqueen,Grass,Stage 1,U,"LOT, Lost Thunder",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_32.png
102,Oddish,Grass,Basic,C,"UNB, Unbroken Bonds",SM,7,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_5.png
103,Oddish,Grass,Basic,C,"UNB, Unbroken Bonds",SM,9,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_6.png
104,Gloom,Grass,Stage 1,U,"UNB, Unbroken Bonds",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_7.png
105,Vileplume,Grass,Stage 2,R,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_8.png
106,Bellsprout,Grass,Basic,C,"CES, Celestial Storm",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_1.png
107,Bellsprout,Grass,Basic,C,"UNB, Unbroken Bonds",SM,7,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_13.png
108,Weepinbell,Grass,Stage 1,U,"GRI, Guardians Rising",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM2/SM2_EN_2.png
109,Weepinbell,Grass,Stage 1,U,"UNB, Unbroken Bonds",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_14.png
110,Victreebel,Grass,Stage 2,R,"UNB, Unbroken Bonds",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_15.png
111,Venonat,Grass,Basic,C,"UNB, Unbroken Bonds",SM,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_9.png
112,Venonat,Grass,Basic,C,"UNB, Unbroken Bonds",SM,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_10.png
113,Venomoth,Grass,Stage 1,R,"UNB, Unbroken Bonds",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_11.png
114,Tangela,Grass,Basic,C,"UNB, Unbroken Bonds",SM,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_16.png
115,Tangrowth,Grass,Stage 1,R,"LOT, Lost Thunder",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_2.png
116,Foongus,Grass,Basic,C,"UNM, Unified Minds",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_13.png
117,Amoongus,Grass,Stage 1,R,"UNM, Unified Minds",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_14.png
118,Bounsweet,Grass,Basic,C,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_17.png
119,Shroomish,Grass,Basic,C,"UNM, Unified Minds",SM,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_5.png
120,Sewaddle,Grass,Basic,C,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_6.png
121,Sewaddle,Grass,Basic,C,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_7.png
122,Swadloon,Grass,Stage 1,U,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_8.png
123,Leavanny,Grass,Stage 1,R,"UNM, Unified Minds",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_9.png
124,Seedot,Grass,Basic,C,"CES, Celestial Storm",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_11.png
125,Seedot,Grass,Basic,C,"CES, Celestial Storm",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_12.png
126,Scyther,Grass,Basic,C,"LOT, Lost Thunder",SM,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_3.png
127,Scyther,Grass,Basic,U,"CES, Celestial Storm",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_4.png
128,Treecko,Grass,Basic,C,"LOT, Lost Thunder",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_20.png
129,Grovyle,Grass,Stage 1,U,"LOT, Lost Thunder",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_21.png
130,Grovyle,Grass,Stage 1,U,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_9.png
131,Caterpie,Grass,Basic,C,"UNB, Unbroken Bonds",SM,7,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_2.png
132,Metapod,Grass,Stage 1,U,"UNB, Unbroken Bonds",SM,7,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_3.png
133,Butterfree,Grass,Stage 2,R,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_4.png
134,Skiddo,Grass,Basic,C,"LOT, Lost Thunder",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_35.png
135,Gogoat,Grass,Stage 1,U,"LOT, Lost Thunder",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_36.png
136,Hoppip,Grass,Basic,C,"LOT, Lost Thunder",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_12.png
137,Hoppip,Grass,Basic,C,"LOT, Lost Thunder",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_11.png
138,Cacnea,Grass,Basic,C,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_19.png
139,Cacturne,Grass,Stage 1,U,"CES, Celestial Storm",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_20.png
140,Nincada,Grass,Basic,C,"LOT, Lost Thunder",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_29.png
141,Ninjask,Grass,Stage 1,U,"LOT, Lost Thunder",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_30.png
142,Chikorita,Grass,Basic,C,"LOT, Lost Thunder",SM,7,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_6.png
143,Chikorita,Grass,Basic,C,"LOT, Lost Thunder",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_5.png
144,Bayleef,Grass,Stage 1,U,"LOT, Lost Thunder",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_7.png
145,Meganium,Grass,Stage 2,R,"LOT, Lost Thunder",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_8.png
146,Grubbin,Grass,Basic,C,"UNB, Unbroken Bonds",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_18.png
147,Tropius,Grass,Basic,U,"CES, Celestial Storm",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_21.png
148,Heracross,Grass,Basic,R,"BUS, Burning Shadows",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM3/SM3_EN_11.png
149,Araquanid,Grass,Stage 1,R,"UPR, Ultra Prism",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM5/SM5_EN_17.png
150,Pinsir,Grass,Basic,U,"LOT, Lost Thunder",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_4.png
151,Pineco,Grass,Basic,C,"LOT, Lost Thunder",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_15.png
152,Kartana,Grass,Basic,R,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_19.png
153,Dhelmise,Grass,Basic,R,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_22.png
154,Treecko,Grass,Basic,C,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_8.png
155,Toedscool,Grass,Basic,C,"PAR, Paradox Rift",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_15.png
156,Toedscool,Grass,Basic,C,"SVI, Scarlet & Violet",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_25.png
157,Toedscruel,Grass,Stage 1,U,"PAR, Paradox Rift",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_17.png
158,Gossifleur,Grass,Basic,C,"SHF, Shining Fates",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH45/SWSH45_EN_14.png
159,Eldegoss,Grass,Stage 1,R,"EVS, Evolving Skies",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH7/SWSH7_EN_16.png
160,Cherubi,Grass,Basic,C,"BST, Battle Styles",SWSH,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH5/SWSH5_EN_7.png
161,Cherrim,Grass,Stage 1,R,"BST, Battle Styles",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH5/SWSH5_EN_8.png
162,Tropius,Grass,Basic,R,"EVS, Evolving Skies",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH7/SWSH7_EN_6.png
